gameDateEt,matchupKey,line,overPrice,underPrice,total,projection,predictedSide,actual,actualSide,result
2025-10-25,PHX@DEN,1.5,-143.5,110,234.5,2.01,UNDER,0,UNDER,CORRECT
2025-10-27,DEN@MIN,1.5,-137.5,106.5,221.5,1.05,UNDER,0,UNDER,CORRECT
2025-10-29,NOP@DEN,1.5,-116.5,-112.5,237.5,0.67,UNDER,1,UNDER,CORRECT
2025-10-31,DEN@POR,1.5,-131,-1,235.5,0.73,OVER,2,OVER,CORRECT
2025-11-03,SAC@DEN,1.5,109,-144.5,237,1.02,OVER,4,OVER,CORRECT
2025-11-05,MIA@DEN,1.5,-121.5,-109,241.5,1.61,OVER,2,OVER,CORRECT
2025-11-07,GSW@DEN,1.5,-141,105.5,234.5,1.69,UNDER,2,OVER,WRONG
2025-11-08,IND@DEN,1.5,-125.5,-7.5,233.5,1.73,UNDER,1,UNDER,CORRECT
2025-11-11,DEN@SAC,1.5,-119,-111.5,237.5,1.62,UNDER,1,UNDER,CORRECT
2025-11-12,DEN@LAC,1.5,105,-139.5,226.5,1.52,OVER,5,OVER,CORRECT
2025-11-15,DEN@MIN,1.5,-114,-116,234.5,1.93,OVER,3,OVER,CORRECT
2025-11-17,CHI@DEN,1.5,-135.5,102,242.5,2.19,UNDER,1,UNDER,CORRECT
2025-11-19,DEN@NOP,1.5,-152,115.5,233,2.14,OVER,2,OVER,CORRECT
2025-11-21,DEN@HOU,1.5,-150.5,113,233.75,2.06,OVER,4,OVER,CORRECT
2025-11-22,SAC@DEN,1.5,-175.5,133.5,237,2.33,OVER,3,OVER,CORRECT
2025-11-24,DEN@MEM,2.5,132,-177.5,233.25,2.41,OVER,3,OVER,CORRECT
2025-11-28,SAS@DEN,2,-24,-24.5,236.5,2.48,UNDER,1,UNDER,CORRECT
2025-11-29,DEN@PHX,1.5,-154,116,233.5,2.28,OVER,2,OVER,CORRECT
2025-12-01,DAL@DEN,1.5,-141,106.5,234.5,2.26,OVER,3,OVER,CORRECT
2025-12-03,DEN@IND,1.5,-166,120,235.5,2.41,UNDER,1,UNDER,CORRECT
2025-12-05,DEN@ATL,1.5,-165,122,236.5,2.19,UNDER,1,UNDER,CORRECT
2025-12-07,DEN@CHA,1.5,-150,112,234.5,2.04,OVER,4,OVER,CORRECT
2025-12-11,DEN@SAC,1.5,-185,135,239.5,2.3,OVER,2,OVER,CORRECT
2025-12-15,HOU@DEN,1.5,-166,126,233.5,2.28,UNDER,5,OVER,WRONG
2025-12-18,ORL@DEN,1.5,-160,122,232.5,2.51,UNDER,0,UNDER,CORRECT
2025-12-20,HOU@DEN,1.5,-143,108,237,2.15,UNDER,1,UNDER,CORRECT
2025-12-22,UTA@DEN,2.5,-110,100,245.5,1.99,UNDER,1,UNDER,CORRECT
2025-12-23,DEN@DAL,1.5,-120,-113,237.5,1.98,UNDER,5,OVER,WRONG
2025-12-25,MIN@DEN,2.5,-120,-112,230.5,2.31,OVER,4,OVER,CORRECT
2025-12-27,DEN@ORL,1.5,-145,110,236.75,2.41,UNDER,0,UNDER,CORRECT
2025-12-29,DEN@MIA,1.5,-175,125,244.75,2.2,UNDER,1,UNDER,CORRECT
2026-01-30,LAC@DEN,1.5,100,-144,210.5,2.17,OVER,2,OVER,CORRECT
2026-02-01,OKC@DEN,1.5,-128,100,228.5,2.15,UNDER,1,UNDER,CORRECT
2026-02-03,DEN@DET,1.5,-120,-115,224.5,2.02,OVER,3,OVER,CORRECT
2026-02-04,DEN@NYK,1.5,-146,-104,226.5,1.97,UNDER,1,UNDER,CORRECT
2026-02-07,DEN@CHI,1.5,-150,110,229,2.13,OVER,2,OVER,CORRECT
2026-02-09,CLE@DEN,1.5,-176,130,233.5,2.13,UNDER,0,UNDER,CORRECT
2026-02-11,MEM@DEN,1.5,-136,103,236,1.95,UNDER,0,UNDER,CORRECT
2026-02-19,DEN@LAC,1.5,-137,100,225.5,1.74,UNDER,0,UNDER,CORRECT
2026-02-20,DEN@POR,1.5,-138,105,238.25,1.58,OVER,3,OVER,CORRECT
2026-02-22,DEN@GSW,1.5,-140,110,231.5,1.79,OVER,3,OVER,CORRECT
2026-02-25,BOS@DEN,1.5,-140,105,229,1.97,OVER,4,OVER,CORRECT
2026-02-27,DEN@OKC,1.5,-141,108,230.5,2.12,OVER,2,OVER,CORRECT
2026-03-01,MIN@DEN,2.5,140,-185,238.5,2.05,UNDER,1,UNDER,CORRECT
2026-03-02,DEN@UTA,1.5,-155,122,243,1.9,UNDER,0,UNDER,CORRECT
2026-03-05,LAL@DEN,1.5,-137,105.5,238.5,1.81,UNDER,0,UNDER,CORRECT
2026-03-06,NYK@DEN,1.5,-158,120,231.25,1.6,UNDER,1,UNDER,CORRECT
2026-03-09,DEN@OKC,1.5,-150,115,231.5,1.58,OVER,3,OVER,CORRECT
